id,ts,market,contract_type,algorithm,signal,stake,entry_price,exit_price,pnl,result,balance_after,contract_id,duration_ticks,notes
558,2026-04-03T05:29:14.375028,1HZ10V,PUT,Strong Trend (ADX: 36.0),DOWN,1.0,9786.49,9786.57,0.94,WIN,10001.06,,,
557,2026-04-03T05:29:06.380317,1HZ10V,PUT,Strong Trend (ADX: 29.4),DOWN,1.0,9786.87,9786.18,0.94,WIN,10000.12,,,
556,2026-04-03T05:28:58.562099,1HZ10V,PUT,Strong Trend (ADX: 57.1),DOWN,1.0,9787.28,9786.71,0.94,WIN,9999.18,,,
555,2026-04-03T05:28:51.744302,1HZ10V,PUT,Strong Trend (ADX: 55.8),DOWN,1.0,9787.41,9787.62,-1.0,LOSS,9998.24,,,
554,2026-04-03T05:28:26.362164,1HZ10V,CALL,Strong Trend (ADX: 33.6),UP,1.0,9788.64,9788.5,-1.0,LOSS,9999.24,,,
553,2026-04-03T05:28:19.304975,1HZ10V,CALL,Strong Trend (ADX: 36.8),UP,1.0,9788.12,9788.79,0.94,WIN,10000.24,,,
552,2026-04-03T05:28:11.355662,1HZ10V,CALL,Strong Trend (ADX: 40.6),UP,1.0,9787.88,9788.3,0.94,WIN,9999.3,,,
551,2026-04-03T05:16:05.389723,1HZ10V,PUT,Bearish Breakout | FDI: 1.25,DOWN,1.0,9776.4,9776.62,-1.0,LOSS,9998.36,,,
550,2026-04-03T05:13:17.420262,1HZ10V,MULTUP,Overextended (Z=-2.62),UP,1.0,9779.53,9776.28,-0.15,LOSS,9999.36,,,
549,2026-04-03T05:08:35.384068,1HZ10V,CALL,Bullish Breakout | FDI: 1.36,UP,1.0,9783.33,9782.62,-1.0,LOSS,9999.51,,,
548,2026-04-03T05:00:46.501072,R_10,MULTUP,Overextended (Z=-2.48),UP,1.0,5083.943,,,CANCELLED,,,,"Multiplier is not in acceptable range. Accepts 400,1000,2000,3000,4000."
547,2026-04-03T05:00:44.443773,R_10,MULTUP,Overextended (Z=-2.80),UP,1.0,5084.028,,,CANCELLED,,,,"Multiplier is not in acceptable range. Accepts 400,1000,2000,3000,4000."
546,2026-04-03T05:00:42.512622,R_10,MULTUP,Overextended (Z=-2.90),UP,1.0,5084.196,,,CANCELLED,,,,"Multiplier is not in acceptable range. Accepts 400,1000,2000,3000,4000."
